,satisfaction_level,last_evaluation_score,project_count,average_monthly_hours,years_of_working,workplace_acciedent_count,employment_status,promotion_last_5years,department,salary_range,Score_variance
150,0.11,0.91,6,278,4,0,1,0,marketing,low,0.8
151,0.45,0.56,2,154,3,0,1,0,marketing,low,0.11000000000000004
152,0.37,0.52,2,143,3,0,1,0,marketing,low,0.15000000000000002
153,0.4,0.52,2,155,3,0,1,0,marketing,low,0.12
154,0.39,0.48,2,160,3,0,1,0,sales,low,0.08999999999999997
155,0.11,0.8,6,304,4,0,1,0,accounting,low,0.6900000000000001
156,0.83,1.0,5,240,5,0,1,0,support,low,0.17000000000000004
157,0.11,0.92,6,305,4,0,1,0,technical,low,0.81
158,0.39,0.5,2,136,3,0,1,0,management,low,0.10999999999999999
159,0.45,0.45,2,132,3,0,1,0,marketing,low,0.0
160,0.1,0.95,7,301,4,0,1,0,marketing,low,0.85
162,0.45,0.51,2,147,3,0,1,0,sales,low,0.06
163,0.79,0.89,5,239,5,0,1,0,sales,low,0.09999999999999998
164,0.9,0.99,5,260,5,0,1,0,sales,low,0.08999999999999997
165,0.11,0.84,7,296,4,0,1,0,sales,low,0.73
166,0.43,0.55,2,129,3,0,1,0,sales,low,0.12000000000000005
167,0.31,0.54,5,132,5,0,1,0,sales,low,0.23000000000000004
168,0.32,0.5,2,135,5,0,1,0,sales,low,0.18
169,0.45,0.57,2,158,3,0,1,0,sales,low,0.11999999999999994
170,0.81,0.99,4,259,5,0,1,0,sales,low,0.17999999999999994
171,0.41,0.46,2,160,3,0,1,1,sales,low,0.050000000000000044
172,0.11,0.78,7,278,4,0,1,0,sales,low,0.67
173,0.1,0.88,6,284,4,0,1,0,sales,low,0.78
174,0.7,0.53,2,274,4,0,1,0,sales,low,-0.16999999999999993
175,0.54,0.74,4,164,2,0,1,0,sales,low,0.19999999999999996
176,0.41,0.48,2,148,3,0,1,0,sales,low,0.07
177,0.38,0.5,2,140,3,0,1,0,sales,medium,0.12
178,0.37,0.51,2,127,3,0,1,0,sales,medium,0.14
179,0.11,0.85,6,308,5,0,1,0,sales,medium,0.74
180,0.4,0.47,2,146,3,0,1,0,sales,medium,0.06999999999999995
181,0.1,0.84,6,261,4,0,1,0,accounting,medium,0.74
182,0.89,0.99,5,257,5,0,1,0,accounting,medium,0.09999999999999998
183,0.11,0.8,6,285,4,0,1,0,accounting,medium,0.6900000000000001
184,0.36,0.55,2,141,3,0,1,0,hr,medium,0.19000000000000006
185,0.4,0.46,2,127,3,0,1,0,hr,medium,0.06
186,0.09,0.85,6,297,4,0,1,0,hr,medium,0.76
187,0.4,0.46,2,143,3,0,1,0,hr,medium,0.06
188,0.37,0.55,2,152,3,0,1,0,technical,medium,0.18000000000000005
189,0.44,0.51,2,156,3,0,1,0,technical,high,0.07
190,0.09,0.8,7,283,5,0,1,0,technical,low,0.7100000000000001
192,0.74,0.91,4,232,5,0,1,0,technical,medium,0.17000000000000004
193,0.09,0.82,6,249,4,0,1,0,technical,medium,0.73
194,0.89,0.95,4,275,5,0,1,0,technical,medium,0.05999999999999994
195,0.09,0.8,6,304,4,0,1,0,technical,low,0.7100000000000001
196,0.27,0.54,7,278,3,0,1,0,technical,low,0.27
197,0.1,0.91,6,287,4,0,1,0,technical,low,0.81
198,0.1,0.89,7,285,4,0,1,0,technical,low,0.79
200,0.9,0.82,5,259,5,0,1,0,support,low,-0.08000000000000007
201,0.39,0.5,2,135,3,0,1,0,support,low,0.10999999999999999
202,0.76,1.0,5,219,5,0,1,0,support,low,0.24
203,0.1,0.93,6,256,4,0,1,0,support,low,0.8300000000000001
205,0.38,0.5,2,153,3,0,1,0,support,low,0.12
206,0.77,0.99,5,228,5,0,1,0,support,low,0.21999999999999997
207,0.78,0.87,4,228,5,0,1,0,support,low,0.08999999999999997
208,0.44,0.5,2,128,3,0,1,0,support,low,0.06
209,0.38,0.52,2,153,3,0,1,0,support,low,0.14
210,0.43,0.46,2,156,3,0,1,0,technical,low,0.030000000000000027
211,0.39,0.5,4,294,3,0,1,0,technical,low,0.10999999999999999
212,0.88,1.0,5,219,5,0,1,0,technical,low,0.12
213,0.45,0.46,2,153,3,0,1,0,management,low,0.010000000000000009
214,0.4,0.53,2,151,3,0,1,0,IT,low,0.13
215,0.36,0.51,2,155,3,0,1,0,IT,low,0.15000000000000002
216,0.36,0.48,2,158,3,0,1,0,IT,low,0.12
217,0.9,0.98,5,245,5,0,1,0,IT,low,0.07999999999999996
218,0.43,0.53,2,131,3,0,1,0,IT,low,0.10000000000000003
219,0.89,0.87,5,225,5,0,1,0,product_mng,low,-0.020000000000000018
220,0.1,0.84,6,286,4,0,1,0,product_mng,low,0.74
221,0.37,0.5,2,135,3,0,1,0,product_mng,low,0.13
222,0.37,0.51,2,153,3,0,1,0,product_mng,low,0.14
223,0.87,0.9,5,252,5,0,1,0,IT,low,0.030000000000000027
224,0.4,0.56,2,149,3,0,1,0,accounting,low,0.16000000000000003
225,0.9,0.97,4,258,5,0,1,0,accounting,low,0.06999999999999995
226,0.37,0.46,2,158,3,0,1,0,hr,low,0.09000000000000002
227,0.44,0.54,2,149,3,0,1,0,hr,low,0.10000000000000003
228,0.85,0.95,5,236,5,0,1,0,hr,low,0.09999999999999998
230,0.42,0.47,2,159,3,0,1,0,marketing,low,0.04999999999999999
232,0.11,0.83,6,244,4,0,1,0,accounting,low,0.72
233,0.42,0.56,2,134,3,0,1,0,support,low,0.14000000000000007
234,0.48,0.57,4,270,4,0,1,0,technical,low,0.08999999999999997
235,0.83,0.85,4,255,5,0,1,0,management,low,0.020000000000000018
236,0.4,0.53,2,151,3,0,1,0,marketing,low,0.13
237,0.43,0.45,2,135,3,0,1,0,marketing,low,0.020000000000000018
238,0.43,0.53,2,146,3,0,1,0,marketing,low,0.10000000000000003
239,0.1,0.97,7,254,4,0,1,0,sales,low,0.87
240,0.1,0.87,7,289,4,0,1,0,sales,low,0.77
241,0.37,0.46,2,156,3,0,1,0,sales,low,0.09000000000000002
242,0.38,0.53,2,156,3,0,1,0,sales,low,0.15000000000000002
243,0.4,0.5,2,128,3,0,1,0,sales,low,0.09999999999999998
244,0.89,0.86,5,275,5,0,1,0,sales,low,-0.030000000000000027
245,0.45,0.46,2,155,3,0,1,0,sales,low,0.010000000000000009
246,0.37,0.48,2,159,3,0,1,0,sales,low,0.10999999999999999
247,0.46,0.49,2,148,3,0,1,0,sales,low,0.02999999999999997
248,0.87,0.91,4,228,5,0,1,0,sales,low,0.040000000000000036
249,0.11,0.84,6,298,4,0,1,0,sales,low,0.73
250,0.79,0.87,5,261,5,0,1,0,sales,low,0.07999999999999996
252,0.19,0.59,7,192,3,0,1,0,sales,low,0.39999999999999997
253,0.87,0.98,4,248,5,0,1,0,sales,low,0.10999999999999999
254,0.6,0.92,2,258,5,0,1,0,sales,low,0.32000000000000006
255,0.44,0.45,2,156,3,0,1,0,sales,medium,0.010000000000000009
256,0.11,0.81,6,266,4,1,1,0,sales,medium,0.7000000000000001
257,0.42,0.54,2,156,3,0,1,0,sales,medium,0.12000000000000005
258,0.88,0.88,5,232,5,1,1,0,accounting,medium,0.0
259,0.11,0.84,6,287,4,0,1,0,accounting,medium,0.73
260,0.46,0.46,2,154,3,0,1,0,accounting,medium,0.0
261,0.82,0.97,5,263,5,0,1,0,hr,medium,0.15000000000000002
262,0.44,0.56,2,131,3,0,1,0,hr,medium,0.12000000000000005
263,0.11,0.78,6,260,4,0,1,0,hr,medium,0.67
264,0.42,0.5,2,139,3,0,1,0,hr,medium,0.08000000000000002
265,0.84,0.93,4,251,5,0,1,0,technical,medium,0.09000000000000008
266,0.11,0.95,6,286,4,0,1,0,technical,medium,0.84
267,0.45,0.53,2,129,3,0,1,0,technical,high,0.08000000000000002
268,0.38,0.56,2,156,3,0,1,0,technical,low,0.18000000000000005
270,0.44,0.51,2,127,3,0,1,0,technical,medium,0.07
271,0.11,0.84,6,251,4,0,1,0,technical,medium,0.73
272,0.81,0.93,5,270,5,0,1,0,technical,medium,0.12
273,0.09,0.96,6,296,4,0,1,0,technical,low,0.87
274,0.11,0.9,6,254,4,0,1,0,technical,low,0.79
276,0.1,0.97,6,267,4,1,1,0,support,low,0.87
278,0.09,0.78,6,254,4,0,1,0,support,low,0.6900000000000001
279,0.82,0.81,4,233,4,1,1,0,support,low,-0.009999999999999898
280,0.1,0.98,6,268,4,0,1,0,support,low,0.88
281,0.27,0.56,3,301,3,0,1,0,support,low,0.29000000000000004
283,0.1,0.93,6,289,4,1,1,0,support,low,0.8300000000000001
284,0.38,0.47,2,144,3,0,1,0,support,low,0.08999999999999997
285,0.4,0.56,2,148,3,0,1,0,support,low,0.16000000000000003
286,0.11,0.83,6,306,4,0,1,0,support,low,0.72
287,0.11,0.79,6,292,4,0,1,1,technical,low,0.68
288,0.82,0.91,5,232,5,0,1,0,technical,low,0.09000000000000008
289,0.36,0.48,2,137,3,0,1,0,technical,low,0.12
290,0.4,0.46,2,128,3,0,1,0,management,low,0.06
291,0.87,0.84,5,231,5,0,1,0,IT,low,-0.030000000000000027
292,0.41,0.49,2,146,3,0,1,0,IT,low,0.08000000000000002
293,0.11,0.91,6,308,4,1,1,0,IT,low,0.8
294,0.1,0.93,6,253,4,0,1,0,IT,medium,0.8300000000000001
295,0.38,0.51,2,146,3,0,1,0,IT,medium,0.13
296,0.39,0.55,2,156,3,0,1,0,product_mng,medium,0.16000000000000003
297,0.4,0.52,2,147,3,0,1,0,product_mng,medium,0.12
298,0.45,0.48,2,136,3,0,1,0,product_mng,medium,0.02999999999999997
299,0.74,0.84,5,249,5,0,1,0,product_mng,medium,0.09999999999999998
300,0.45,0.55,2,151,3,0,1,0,IT,medium,0.10000000000000003
301,0.12,1.0,3,278,4,0,1,0,RandD,medium,0.88
302,0.1,0.77,7,250,5,0,1,0,RandD,medium,0.67
303,0.37,0.55,2,127,3,0,1,0,RandD,medium,0.18000000000000005
304,0.89,0.87,5,255,5,0,1,0,RandD,medium,-0.020000000000000018
305,0.45,0.47,2,135,3,0,1,0,RandD,medium,0.019999999999999962
306,0.37,0.46,2,149,3,0,1,0,marketing,high,0.09000000000000002
307,0.11,0.81,5,287,4,0,1,0,sales,low,0.7000000000000001
308,0.41,0.48,2,145,3,0,1,0,accounting,medium,0.07
309,0.1,0.94,6,285,4,0,1,0,support,medium,0.84
310,0.1,0.93,7,305,4,0,1,0,technical,medium,0.8300000000000001
311,0.11,0.95,7,300,4,0,1,0,management,medium,0.84
312,0.4,0.54,2,139,3,0,1,0,marketing,low,0.14
313,0.41,0.49,2,130,3,0,1,0,marketing,low,0.08000000000000002
314,0.1,0.81,6,268,4,0,1,0,marketing,low,0.7100000000000001
316,0.43,0.47,2,135,3,0,1,0,sales,low,0.03999999999999998
317,0.37,0.46,2,153,3,0,1,0,sales,low,0.09000000000000002
318,0.11,0.94,6,276,4,0,1,0,sales,low,0.83
319,0.4,0.46,2,130,3,0,1,0,sales,low,0.06
320,0.41,0.54,2,153,3,1,1,0,sales,low,0.13000000000000006
321,0.82,0.84,5,244,5,0,1,0,sales,low,0.020000000000000018
322,0.61,0.47,2,253,3,0,1,0,sales,low,-0.14
323,0.11,0.91,7,287,4,0,1,0,sales,low,0.8
324,0.37,0.45,2,131,3,0,1,0,sales,low,0.08000000000000002
325,0.41,0.52,2,135,3,0,1,0,sales,low,0.11000000000000004
326,0.37,0.52,2,157,3,0,1,0,sales,low,0.15000000000000002
328,0.1,0.85,6,266,4,0,1,0,sales,low,0.75
329,0.44,0.48,2,148,3,0,1,0,sales,low,0.03999999999999998
330,0.38,0.57,2,140,3,0,1,0,sales,low,0.18999999999999995
331,0.11,0.85,7,302,4,0,1,0,sales,low,0.74
332,0.09,0.98,6,271,4,0,1,0,sales,low,0.89
333,0.45,0.52,2,145,3,0,1,0,sales,medium,0.07
334,0.1,0.81,6,290,4,0,1,0,accounting,medium,0.7100000000000001
335,0.45,0.47,2,151,3,0,1,0,accounting,medium,0.019999999999999962
336,0.77,0.87,5,266,5,0,1,0,accounting,medium,0.09999999999999998
337,0.44,0.51,2,140,3,0,1,0,hr,medium,0.07
338,0.39,0.5,2,142,3,0,1,0,hr,medium,0.10999999999999999
339,0.1,0.91,6,246,4,0,1,0,hr,medium,0.81
340,0.09,0.89,7,308,5,0,1,0,hr,medium,0.8
341,0.37,0.47,2,141,3,0,1,0,technical,medium,0.09999999999999998
342,0.9,1.0,5,232,5,0,1,0,technical,medium,0.09999999999999998
343,0.41,0.56,2,143,3,0,1,0,technical,medium,0.15000000000000008
344,0.37,0.52,2,155,3,0,1,0,technical,medium,0.15000000000000002
345,0.1,0.86,6,278,4,0,1,0,technical,high,0.76
346,0.81,1.0,4,253,5,0,1,0,technical,low,0.18999999999999995
347,0.11,0.8,6,282,4,0,1,0,technical,medium,0.6900000000000001
348,0.11,0.84,7,264,4,0,1,0,technical,medium,0.73
349,0.4,0.46,2,149,3,0,1,0,technical,medium,0.06
350,0.09,0.8,6,304,5,0,1,0,technical,medium,0.7100000000000001
353,0.43,0.57,2,135,3,0,1,0,support,low,0.13999999999999996
354,0.33,0.88,6,219,5,0,1,0,support,low,0.55
355,0.41,0.57,2,136,3,0,1,0,support,low,0.15999999999999998
356,0.41,0.55,2,154,3,0,1,0,support,low,0.14000000000000007
357,0.37,0.54,2,149,3,0,1,0,support,low,0.17000000000000004
358,0.31,0.62,6,135,5,0,1,0,support,low,0.31
359,0.09,0.91,6,275,4,0,1,0,support,low,0.8200000000000001
360,0.1,0.87,6,290,4,0,1,0,support,low,0.77
361,0.76,0.9,4,263,5,0,1,0,support,low,0.14
362,0.41,0.54,2,145,3,0,1,0,support,low,0.13000000000000006
363,0.72,0.96,5,267,5,0,1,0,technical,low,0.24
364,0.4,0.5,2,141,3,1,1,0,technical,low,0.09999999999999998
365,0.91,0.87,4,235,5,0,1,0,technical,low,-0.040000000000000036
366,0.1,0.83,6,258,4,0,1,0,management,low,0.73
367,0.4,0.56,2,131,3,0,1,0,IT,low,0.16000000000000003
368,0.82,0.86,5,243,5,0,1,0,IT,low,0.040000000000000036
369,0.1,0.82,6,266,4,0,1,0,IT,low,0.72
370,0.37,0.45,2,142,3,0,1,0,IT,low,0.08000000000000002
371,0.36,0.51,2,135,3,0,1,0,IT,low,0.15000000000000002
372,0.39,0.48,2,141,3,0,1,0,product_mng,medium,0.08999999999999997
373,0.36,0.57,2,142,3,0,1,0,product_mng,medium,0.20999999999999996
374,0.86,0.84,5,254,5,0,1,0,product_mng,medium,-0.020000000000000018
375,0.73,0.99,5,262,5,0,1,0,product_mng,medium,0.26
376,0.56,0.71,4,296,2,0,1,0,IT,medium,0.1499999999999999
377,0.44,0.56,2,158,3,0,1,0,accounting,medium,0.12000000000000005
378,0.31,0.56,4,238,2,0,1,0,accounting,medium,0.25000000000000006
379,0.77,0.93,4,231,5,0,1,0,hr,medium,0.16000000000000003
380,0.44,0.45,2,156,3,0,1,0,hr,medium,0.010000000000000009
381,0.38,0.46,2,145,3,0,1,0,hr,medium,0.08000000000000002
382,0.45,0.48,2,144,3,0,1,0,marketing,medium,0.02999999999999997
383,0.38,0.51,2,159,3,0,1,0,sales,medium,0.13
384,0.36,0.48,2,156,3,0,1,0,accounting,high,0.12
385,0.75,0.9,5,256,5,0,1,0,support,low,0.15000000000000002
386,0.1,0.93,6,298,4,0,1,0,technical,medium,0.8300000000000001
387,0.1,0.97,6,247,4,0,1,0,management,medium,0.87
388,0.45,0.5,2,157,3,0,1,0,marketing,medium,0.04999999999999999
389,0.42,0.57,2,154,3,1,1,0,marketing,medium,0.14999999999999997
390,0.78,1.0,4,253,5,0,1,0,marketing,low,0.21999999999999997
391,0.45,0.55,2,148,3,0,1,0,sales,low,0.10000000000000003
392,0.84,1.0,4,261,5,0,1,0,sales,low,0.16000000000000003
393,0.11,0.93,6,282,4,0,1,0,sales,low,0.8200000000000001
394,0.42,0.56,2,133,3,0,1,0,sales,low,0.14000000000000007
395,0.45,0.46,2,128,3,0,1,0,sales,low,0.010000000000000009
397,0.09,0.79,6,293,5,0,1,0,sales,low,0.7000000000000001
399,0.1,0.87,6,250,4,0,1,0,sales,low,0.77
401,0.76,0.92,4,246,5,0,1,0,sales,low,0.16000000000000003
402,0.74,1.0,5,275,5,0,1,0,sales,low,0.26
403,0.92,0.93,5,240,5,0,1,0,sales,low,0.010000000000000009
404,0.76,0.87,5,245,5,0,1,0,sales,low,0.10999999999999999
405,0.47,0.5,4,254,4,0,1,0,sales,low,0.030000000000000027
406,0.73,0.99,5,241,5,0,1,0,sales,low,0.26
407,0.09,0.94,6,257,4,0,1,0,sales,low,0.85
408,0.91,0.92,4,246,5,0,1,0,sales,low,0.010000000000000009
409,0.82,0.98,4,233,5,0,1,0,sales,low,0.16000000000000003
410,0.28,0.45,6,218,4,0,1,0,accounting,low,0.16999999999999998
412,0.45,0.53,2,138,3,0,1,0,accounting,medium,0.08000000000000002
413,0.45,0.54,2,142,3,0,1,0,hr,medium,0.09000000000000002
414,0.91,0.97,5,233,5,0,1,0,hr,medium,0.05999999999999994
415,0.42,0.48,2,155,3,0,1,0,hr,medium,0.06
417,0.11,0.9,6,264,4,0,1,0,technical,medium,0.79
418,0.42,0.53,3,199,4,0,1,0,technical,medium,0.11000000000000004
419,0.82,0.85,4,223,5,0,1,0,technical,medium,0.030000000000000027
420,0.09,0.96,6,268,4,0,1,0,technical,medium,0.87
421,0.1,0.94,6,287,4,0,1,0,technical,medium,0.84
422,0.86,1.0,5,257,5,0,1,0,technical,medium,0.14
423,0.4,0.46,2,143,3,0,1,0,technical,high,0.06
424,0.45,0.46,2,130,3,0,1,0,technical,low,0.010000000000000009
425,0.42,0.51,2,136,3,0,1,0,technical,medium,0.09000000000000002
426,0.74,0.92,4,261,5,0,1,0,technical,medium,0.18000000000000005
427,0.55,0.6,3,180,4,0,1,0,technical,medium,0.04999999999999993
428,0.37,0.45,2,126,3,0,1,0,support,medium,0.08000000000000002
